#ActionsId[0],Action[1],ExtraParameters[2],Filter[3],BalanceId[4],BalanceType[5],Categories[6],DestinationIds[7],RatingSubject[8],SharedGroup[9],ExpiryTime[10],Units[11],BalanceWeight[12],BalanceBlocker[13],BalanceDisabled[14],Weight[15]
TOPUP_RST_10,*topup_reset,,,,*monetary,,*any,,,*unlimited,,10,10,false,false,10
TOPUP_RST_5,*topup_reset,,,,*monetary,,*any,,,*unlimited,,5,20,false,false,10
TOPUP_RST_5,*topup_reset,,,,*voice,,DST_1002,SPECIAL_1002,,*unlimited,,90s,20,false,false,10
TOPUP_120_DST1003,*topup_reset,,,,*voice,,DST_1003,,,*unlimited,,120s,20,false,false,10
TOPUP_RST_SHARED_5,*topup,,,,*monetary,,*any,,SHARED_A,*unlimited,,5,10,false,false,10
SHARED_A_0,*topup_reset,,,,*monetary,,*any,,SHARED_A,*unlimited,,0,10,false,false,10
TOPUP_RST_DATA_100,*topup_reset,,,,*data,,*any,,,*unlimited,,102400,10,false,false,10
LOG_WARNING,*log,,,,,,,,,,,,,false,false,10
DISABLE_AND_LOG,*log,,,,,,,,,,,,,false,false,10
DISABLE_AND_LOG,*disable_account,,,,,,,,,,,,,false,false,10
TOPUP_100SMS_DE_MOBILE,*topup,,,,*sms,,DST_DE_MOBILE,,,,,100,10,false,false,10
