#Id,DestinationRatesId,Weight
RP_ANY,DR_100,10
RP_ANY,DR_101,10
RP_ANY,DR_102,10
RP_ANY,DR_103,10
RP_ANY,DR_104,10
RP_ANY,DR_105,10
RP_ANY,DR_106,10
RP_ANY,DR_107,10
RP_ANY,DR_108,10
RP_ANY,DR_109,10
RP_ANY,DR_110,10
RP_ANY,DR_111,10
RP_ANY,DR_112,10
RP_ANY,DR_113,10
RP_ANY,DR_114,10
RP_ANY,DR_115,10
RP_ANY,DR_116,10
RP_ANY,DR_117,10
RP_ANY,DR_118,10
RP_ANY,DR_119,10
RP_ANY,DR_120,10
RP_ANY,DR_121,10
RP_ANY,DR_122,10
RP_ANY,DR_123,10
RP_ANY,DR_124,10
RP_ANY,DR_125,10
RP_ANY,DR_126,10
RP_ANY,DR_127,10
RP_ANY,DR_128,10
RP_ANY,DR_129,10
RP_ANY,DR_130,10
RP_ANY,DR_131,10
RP_ANY,DR_132,10
RP_ANY,DR_133,10
RP_ANY,DR_134,10
RP_ANY,DR_135,10
RP_ANY,DR_136,10
RP_ANY,DR_137,10
RP_ANY,DR_138,10
RP_ANY,DR_139,10
RP_ANY,DR_140,10
RP_ANY,DR_141,10
RP_ANY,DR_142,10
RP_ANY,DR_143,10
RP_ANY,DR_144,10
RP_ANY,DR_145,10
RP_ANY,DR_146,10
RP_ANY,DR_147,10
RP_ANY,DR_148,10
RP_ANY,DR_149,10
RP_ANY,DR_150,10
RP_ANY,DR_151,10
RP_ANY,DR_152,10
RP_ANY,DR_153,10
RP_ANY,DR_154,10
RP_ANY,DR_155,10
RP_ANY,DR_156,10
RP_ANY,DR_157,10
RP_ANY,DR_158,10
RP_ANY,DR_159,10
RP_ANY,DR_160,10
RP_ANY,DR_161,10
RP_ANY,DR_162,10
RP_ANY,DR_163,10
RP_ANY,DR_164,10
RP_ANY,DR_165,10
RP_ANY,DR_166,10
RP_ANY,DR_167,10
RP_ANY,DR_168,10
RP_ANY,DR_169,10
RP_ANY,DR_170,10
RP_ANY,DR_171,10
RP_ANY,DR_172,10
RP_ANY,DR_173,10
RP_ANY,DR_174,10
RP_ANY,DR_175,10
RP_ANY,DR_176,10
RP_ANY,DR_177,10
RP_ANY,DR_178,10
RP_ANY,DR_179,10
RP_ANY,DR_180,10
RP_ANY,DR_181,10
RP_ANY,DR_182,10
RP_ANY,DR_183,10
RP_ANY,DR_184,10
RP_ANY,DR_185,10
RP_ANY,DR_186,10
RP_ANY,DR_187,10
RP_ANY,DR_188,10
RP_ANY,DR_189,10
RP_ANY,DR_190,10
RP_ANY,DR_191,10
RP_ANY,DR_192,10
RP_ANY,DR_193,10
RP_ANY,DR_194,10
RP_ANY,DR_195,10
RP_ANY,DR_196,10
RP_ANY,DR_197,10
RP_ANY,DR_198,10
RP_ANY,DR_199,10

