#ActionsId[0],Action[1],ExtraParameters[2],Filter[3],BalanceId[4],BalanceType[5],Categories[6],DestinationIds[7],RatingSubject[8],SharedGroup[9],ExpiryTime[10],Units[11],BalanceWeight[12],BalanceBlocker[13],BalanceDisabled[14],Weight[15]

# TOPUP_RST_MONETARY_10 resets the <*default> <*monetary> balance to 10 units
TOPUP_RST_MONETARY_10,*topup_reset,,,*default,*monetary,,,,,,,10,10,,,10

# TOPUP_RST_10M_VOICE resets the special <PER_CALL> *voice balance valid to destination <DST_10> with special rates <RPF_SPECIAL_BLC> to 10m
TOPUP_RST_10M_VOICE,*topup_reset,,,PER_CALL,*voice,,DST_10,RPF_SPECIAL_BLC,,,,10m,10,,,10

# TOPUP_RST_5M_VOICE resets *voice balance <FREE_MINS> with 0 costs rounded up to minute to 5m and priority 20
TOPUP_RST_5M_VOICE,*topup_reset,,,FREE_MINS,*voice,,,*zero1m,,,,5m,20,,,10

# TOPUP_RST_100_SMS resets the <FREE_SMSes> *sms balance to 100 units and priority 20 in balance chain
TOPUP_RST_100_SMS,*topup_reset,,,FREE_SMSes,*sms,,,,,,,100,20,,,10

# TOPUP_BONUS_10SMS adds 10 units to <BONUS_SMSes> balance valid on DST_50 destination and priority 30 in balance chain
TOPUP_BONUS_10SMS,*topup,,,BONUS_SMSes,*sms,,DST_50,,,,,10,30,,,10

# TOPUP_RST_1024_DATA resets the <FREE_DATA> *data balance to 1024 units with priority 20 in the balance chain
TOPUP_RST_1024_DATA,*topup_reset,,,FREE_DATA,*data,,,,,,,1024,20,,,10

# LOG_WARNING will log to syslog the account attached to it
LOG_WARNING,*log,,,,,,,,,,,,,,,10

# DISABLE_ACCOUNT will set the Disabled Flag on the account called 
DISABLE_ACCOUNT,*disable_account,,,,,,,,,,,,,,,10

# WARN_HTTP_ASYNC will call url asynchronously with the account provided as JSON body
WARN_HTTP_ASYNC,*http_post_async,http://$path/$to/$warn,,,,,,,,,,,,false,false,10
