#Tenant,ID,FilterIDs,Weights,Blockers,Opts,BalanceID,BalanceFilterIDs,BalanceWeights,BalanceBlockers,BalanceType,BalanceUnits,BalanceUnitFactors,BalanceOpts,BalanceCostIncrements,BalanceAttributeIDs,BalanceRateProfileIDs,ThresholdIDs
cgrates.org,310150123456789,*string:~*req.IMSI:310150123456789;FLTR_US,,,,data_allowance,,;20,,*abstract,0,,,;1;0;0,,,
cgrates.org,310150123456789,,,,,data_overage,,;10,,*abstract,0,,*balanceUnlimited:true,,,RP_US_OVERAGE,
cgrates.org,310150123456789,,,,,monetary,,;5,,*concrete,100,,,,,,
cgrates.org,262011234567890,*string:~*req.IMSI:262011234567890;FLTR_EU,,,,data_allowance,,;20,,*abstract,0,,,;1;0;0,,,
cgrates.org,262011234567890,,,,,data_overage,,;10,,*abstract,0,,*balanceUnlimited:true,,,RP_EU_OVERAGE,
cgrates.org,262011234567890,,,,,monetary,,;5,,*concrete,100,,,,,,
cgrates.org,999999999999999,*string:~*req.IMSI:999999999999999,,,,data_allowance,,;20,,*abstract,0,,,;1;0;0,,,
cgrates.org,999999999999999,,,,,data_overage,,;10,,*abstract,0,,*balanceUnlimited:true,,,RP_GLOBAL_OVERAGE,
cgrates.org,999999999999999,,,,,monetary,,;5,,*concrete,100,,,,,,
cgrates.org,310150000000901,*string:~*req.IMSI:310150000000901,,,,data_allowance,,;20,,*abstract,0,,,;1;0;0,,,
cgrates.org,310150000000901,,,,,data_overage,,;10,,*abstract,0,,*balanceUnlimited:true,,,RP_GLOBAL_OVERAGE,
cgrates.org,310150000000901,,,,,monetary,,;5,,*concrete,100,,,,,,
cgrates.org,310150000000902,*string:~*req.IMSI:310150000000902,,,,data_allowance,,;20,,*abstract,0,,,;1;0;0,,,
cgrates.org,310150000000902,,,,,data_overage,,;10,,*abstract,0,,*balanceUnlimited:true,,,RP_GLOBAL_OVERAGE,
cgrates.org,310150000000902,,,,,monetary,,;5,,*concrete,5,,,,,,
cgrates.org,310150000000910,*string:~*req.IMSI:310150000000910,,,,data_allowance,,;20,,*abstract,0,,,;1;0;0,,,
cgrates.org,310150000000910,,,,,data_overage,,;10,,*abstract,0,,*balanceUnlimited:true,,,RP_GLOBAL_OVERAGE,
cgrates.org,310150000000910,,,,,monetary,,;5,,*concrete,25,,,,,,
